"","ID","errors","treatment"
"1","6058b60fff48cb32ebd95e99",7,"errors1"
"2","60ff2ae3af70df62d3408644",0,"errors1"
"3","55d5b307cfc2f400054583d1",0,"errors1"
"4","5d8c46cc53b833001a4bf916",4,"errors1"
"5","61109d5c89a3192534ae2e65",0,"errors1"
"6","614d2d7401f5e91254949ebf",2,"errors1"
"7","6081dada045150a0244f6534",0,"errors1"
"8","6112dba8e2eb90519a46e6cf",8,"errors1"
"9","60b8e0ed0524f574caac62ce",2,"errors1"
"10","62782e213f848ecda91a275a",6,"errors1"
"11","59014ee029f42300013cc5b7",5,"errors1"
"12","60a17df4d93b81310ff230a5",0,"errors1"
"13","5bc151ece6491a00013a21f3",4,"errors1"
"14","61006f3c396dd596eb7c555e",5,"errors1"
"15","5f7adf44d2ddfa74d5019c3d",3,"errors1"
"16","5aa2ac74873cda00010d4bd2",4,"errors1"
"17","5a28bf2b8766a40001900b24",2,"errors1"
"18","5ad0f1934d061300011b0a4d",1,"errors1"
"19","561c4dc1811d220005f31d9b",0,"errors1"
"20","60fd60e7587e4f2e860338b4",9,"errors1"
"21","5d649652adc4e8001a2d258d",5,"errors1"
"22","60461ebcb6a36e04513f1ee9",1,"errors1"
"23","611391cf9c88ab6888baa6c2",0,"errors1"
"24","5c8ec999bb6a3c00014acf5f",2,"errors1"
"25","5d86c00ef6b20e0015e20b0c",0,"errors1"
"26","60928b55a027ee7893ed76e5",0,"errors1"
"27","5d3c88c00e510a00013df5f1",6,"errors1"
"28","568e7144e3ef9e000da20149",4,"errors1"
"29","5eb074c7e612c1129942044c",8,"errors1"
"30","5f7058deeb83ab60bb836eae",3,"errors1"
"31","627e807715abf2361938fd68",3,"errors1"
"32","5e445469951000017c34358e",11,"errors1"
"33","5bbc0004ac45e6000131d380",3,"errors1"
"34","59306fc35f170a00014358da",12,"errors1"
"35","55a43278fdf99b02ff6caf89",1,"errors1"
"36","61047937db4de7f14948ef08",1,"errors1"
"37","5e3e54f69e51f80b67c1cc06",6,"errors1"
"38","5f35742998f31a13a1582100",4,"errors1"
"39","6077a808b8d8534a901e5d78",4,"errors1"
"40","614fa2d8176b0317b451cd0f",1,"errors1"
"41","6138f7e0ad42e592ca5f2024",5,"errors1"
"42","60fdc934e81b93f92f561d76",3,"errors1"
"43","6137da4ec348d1070e20fd85",1,"errors1"
"44","6132cc931d18eb3ce734accf",0,"errors1"
"45","5a0071766e1ea9000124db35",5,"errors1"
"46","5c7c3c7b896a0b00171c2302",5,"errors1"
"47","5ec4b10f7e31c83a4d915cf6",10,"errors1"
"48","5f4c8469ad5ee688eff8cb4b",0,"errors1"
"49","5a78dbb9ae9a0b0001a97212",1,"errors1"
"50","5fd6b6fbbf40a261f6bc3056",0,"errors1"
"51","5920b1f62b529b00013f3214",1,"errors1"
"52","5c376ea0eecc440001c58889",5,"errors1"
"53","6123ffd66668fe39928e28b0",1,"errors1"
"54","5bf735882dd20c0001317fca",0,"errors1"
"55","5e9f70a9eec34b1108c84413",4,"errors1"
"56","5e574010f269721002764a53",1,"errors1"
"57","5eacb9950c7a9532645a3dca",2,"errors1"
"58","600fa796b9d3f71a82758e29",4,"errors1"
"59","5b5a822e1ad8270001c4f28d",6,"errors1"
"60","5c55b95b91c0ad0001cf86ab",0,"errors1"
"61","5f525cd7d4ac644f3330116c",0,"errors1"
"62","5b6c72f29dc5550001f8a514",1,"errors1"
"63","614c86f68018ec28d1550e76",1,"errors1"
"64","5dd733ca946f7c6e031bb8a3",9,"errors1"
"65","5ddd1dd2b48da3c63a3ccdbb",11,"errors1"
"66","588908498fd7f00001d735f8",0,"errors1"
"67","5e84bd7c34d5d9072128fac1",2,"errors1"
"68","5fa4f94e535f3b1aa628e0ab",0,"errors1"
"69","57a48845eeaf6d00018d62d7",9,"errors1"
"70","5facc4201f33582f15dcf9bf",4,"errors1"
"71","60fdba29b052ac0601a52873",2,"errors1"
"72","6088b3cf23219414fe76b733",4,"errors1"
"73","5dc88a6643755e5f227e0488",0,"errors1"
"74","60802a95c01e5c25daf8dd85",5,"errors1"
"75","6079fd1b7a4fba956ebbffe7",1,"errors1"
"76","5d953133a3dc06001b78935b",0,"errors1"
"77","610080abe16d6878da9cea01",5,"errors1"
"78","610079904dbc454e2e98de9f",3,"errors1"
"79","5ae59f8cc3c3ab00018f7185",2,"errors1"
"80","5d58cb946c04b200161ecf9b",2,"errors1"
"81","5a198755f2e3460001edc5c9",4,"errors1"
"82","611a1b05104423c73d386b55",3,"errors1"
"83","60fdea4987e386fb2738b8b5",0,"errors1"
"84","610b5d5320ea67cf50ec0445",3,"errors1"
"85","5f9df5f72aca47392dc49b65",5,"errors1"
"86","5b066e00f58f8400018b0906",1,"errors1"
"87","60fa3bc910b0638576512002",10,"errors1"
"88","5e0f443e8205266652153f5e",0,"errors1"
"89","60c3d124a3f6a934bbbb3292",1,"errors1"
"90","5f4dbfdf75b52598a859b99d",0,"errors1"
"91","5c2f7a01c5b00a0001f3e52f",7,"errors1"
"92","61112f7418ea8ffb1deb420d",0,"errors1"
"93","617372f2d708eb69eccac9bf",0,"errors1"
"94","60fce156003127285462a3bb",2,"errors1"
"95","5ec48cc2daeeba37663f880b",1,"errors2"
"96","5622e62bed6e5a0011c807b3",6,"errors2"
"97","55fc2b4377f33b000ecb21ed",3,"errors2"
"98","5feff5d30ad48b39d17b9c25",0,"errors2"
"99","60fe2112b2f9cd4687d2a724",5,"errors2"
"100","602348484d326a1c5aa80bb7",0,"errors2"
"101","5596a991fdf99b2d1e834690",11,"errors2"
"102","628409abe8772d1f138b7f14",1,"errors2"
"103","548491acfdf99b0379939cc0",4,"errors2"
"104","6283dfc2f6449b4dea57a4e5",5,"errors2"
"105","6073ad2cd288215f64f51efa",6,"errors2"
"106","5a282206b279aa0001b0e002",6,"errors2"
"107","60fd8dc2b12af8c3af8091eb",12,"errors2"
"108","5ed6b2dd7478e0122030e7ff",0,"errors2"
"109","610c736500a4b33398fef94f",3,"errors2"
"110","569ac88daf9ad70006640a66",5,"errors2"
"111","5e2f3319ffa094504e1042e7",1,"errors2"
"112","60b8769b4710e0d70ab94a48",0,"errors2"
"113","5cd3ff1ac99584000199dd15",0,"errors2"
"114","60fcf110d2d4a115c136cb90",1,"errors2"
"115","5e5293866f83902a1858dc08",6,"errors2"
"116","5b5b6c11f5bc590001177815",9,"errors2"
"117","5dce29700ad506063969a4a5",6,"errors2"
"118","610dd13eede9c565243194ea",14,"errors2"
"119","611fd019514179e85e80a7ee",3,"errors2"
"120","5a4f6c4b5f741700018a79a8",4,"errors2"
"121","5c57c06ed05b82000139682e",1,"errors2"
"122","60dca5d351d99ef73b2f8994",4,"errors2"
"123","5d45c2d1da9cb60015aa4312",7,"errors2"
"124","5c7d59f5d454af00160e34d2",2,"errors2"
"125","5fa012c9da74d501089f07c6",7,"errors2"
"126","5d4bed118cbe900016c1f6d0",9,"errors2"
"127","5d8108c0a6d2bf001afdb2d9",2,"errors2"
"128","60ff2c3d915d23318b73ae8d",4,"errors2"
"129","60b7f09a4462d1d1aa6bbcf6",0,"errors2"
"130","5b5a51302b05780001a8ae0b",0,"errors2"
"131","581e0aee4182b600017307ea",2,"errors2"
"132","5b18248744127b00013f90ce",0,"errors2"
"133","5eda8f3cf96cc50eea5c251c",6,"errors2"
"134","5e9bfb45027332115ce9a9d3",2,"errors2"
"135","5ed88b61ff2fef399ca66d92",1,"errors2"
"136","5f887e3ad49914010f5bac68",4,"errors2"
"137","60fcbe2b7b4649ea3cec1ab3",7,"errors2"
"138","5f1629ac3136a0181091b4c8",5,"errors2"
"139","5d196c86a1dc4b0019464cfe",1,"errors2"
"140","5c61a77464fd2100010e09f7",0,"errors2"
"141","58dc1373463f960001ba45b3",0,"errors2"
"142","5737620867421f000d181393",4,"errors2"
"143","61007966aff8c0392da61a00",1,"errors2"
"144","5f5561166d9ce792e07134e2",1,"errors2"
"145","60d731567049e5132e3cc4d4",1,"errors2"
"146","6271788bebdbbf4d9250842e",1,"errors2"
"147","5d6853f06d9a2d001a8d2273",1,"errors2"
"148","6100b594fe44bfaacf99b902",6,"errors2"
"149","5e45ebd018bf820d2cb9ebab",1,"errors2"
"150","5a94579a89de8200013ec36e",1,"errors2"
"151","5f6fd71189a12b5a36b86cc1",8,"errors2"
"152","6103975ca7d27831aba29dfb",5,"errors2"
"153","5b48f2d0ff7497000125165e",4,"errors2"
"154","6171a7253f053b06b29642f2",7,"errors2"
"155","61415e4e227ff90384f081c6",7,"errors2"
"156","614ca7f8fc7cba1b74101bfe",1,"errors2"
"157","61107313f8a8c5d8adc23703",11,"errors2"
"158","5c19fd69e567460001839e98",10,"errors2"
"159","5a6b7f02e6cc4a0001b6a591",0,"errors2"
"160","60e609d8068d35355d10ac61",0,"errors2"
"161","5ed2f70cae98302901c31d4f",6,"errors2"
"162","5f51667a8dff8f39dba7df7f",0,"errors2"
"163","5a35ecbf57d4450001236fd3",1,"errors2"
"164","5ef9f528c7ae587afa25fe9b",0,"errors2"
"165","5d1b8b02e24a990019f32501",4,"errors2"
"166","5d96eeed1998fb00177f6b71",4,"errors2"
"167","5f5588d8f313fc95927e288b",0,"errors2"
"168","622a5d3bbefce4aad4fd640a",1,"errors2"
"169","57a761c22fc0d400012c9656",4,"errors2"
"170","61fa947a5719bc09cb834f5b",1,"errors2"
"171","5ae2641f5cd05500015ece71",4,"errors2"
"172","5f40442792000717762de583",0,"errors2"
"173","608ecc26e4c76e93f4e1afe3",7,"errors2"
"174","5a9b7272f05361000171feef",12,"errors2"
"175","5c872cded9fe700001024123",11,"errors2"
"176","5de83f3b3aa615000a41f831",4,"errors2"
"177","5df416a57bf5722f9a501255",4,"errors2"
"178","572036a1fd3a5200093c126b",1,"errors2"
"179","613aad30bcfed65155a026ec",5,"errors2"
"180","611323bebc984e2d39dc8958",5,"errors2"
"181","5a08c9a7f2e3460001edb063",2,"errors2"
"182","5f5bcd84009333376363c9aa",0,"errors2"
"183","5f73f37ed13ce303cc14ae35",5,"errors2"
"184","614f2d5a2e23379febd50141",6,"errors2"
"185","5de8312c9a9da57b0d318bc4",0,"errors2"
"186","587674406e2f8d00015c6148",0,"errors2"
"187","60fcdd362d1a5e0d012b91f0",4,"errors2"
"188","5de8689fa63c7b7e1d62be9b",11,"errors2"
"189","9981283",6,"errors_students"
"190","3699899",0,"errors_students"
"191","6979850",5,"errors_students"
"192","3992856",8,"errors_students"
"193","5491642",5,"errors_students"
"194","8435836",1,"errors_students"
"195","8319170",3,"errors_students"
"196","9734575",11,"errors_students"
"197","9916065",0,"errors_students"
"198","6035364",2,"errors_students"
"199","9693557",1,"errors_students"
"200","7054968",0,"errors_students"
"201","9412354",1,"errors_students"
"202","5138615",2,"errors_students"
"203","8395626",14,"errors_students"
"204","4763611",2,"errors_students"
"205","9622531",3,"errors_students"
"206","8394827",1,"errors_students"
"207","3061652",14,"errors_students"
"208","3002961",6,"errors_students"
"209","8675092",0,"errors_students"
"210","7031636",3,"errors_students"
"211","9720269",1,"errors_students"
"212","6777171",4,"errors_students"
"213","8268617",0,"errors_students"
"214","5916945",1,"errors_students"
"215","4869046",14,"errors_students"
"216","7124605",1,"errors_students"
"217","8796187",6,"errors_students"
"218","9560574",0,"errors_students"
"219","3216892",10,"errors_students"
"220","6228068",7,"errors_students"
"221","7408164",2,"errors_students"
"222","3576782",0,"errors_students"
"223","5150494",3,"errors_students"
"224","9796384",0,"errors_students"
"225","7045032",12,"errors_students"
"226","8935603",6,"errors_students"
"227","3870474",8,"errors_students"
"228","3646452",0,"errors_students"
"229","5880190",0,"errors_students"
"230","5324504",7,"errors_students"
"231","3977352",8,"errors_students"
"232","7154560",8,"errors_students"
"233","5259585",4,"errors_students"
"234","5185210",0,"errors_students"
"235","7205792",0,"errors_students"
"236","3565561",0,"errors_students"
"237","7519879",3,"errors_students"
"238","3123098",0,"errors_students"
"239","6210694",0,"errors_students"
"240","9408964",0,"errors_students"
"241","5128913",1,"errors_students"
"242","6861066",4,"errors_students"
"243","9889528",1,"errors_students"
"244","9471699",0,"errors_students"
"245","5299219",2,"errors_students"
"246","8433567",1,"errors_students"
"247","9754011",1,"errors_students"
"248","4240388",14,"errors_students"
"249","5968482",1,"errors_students"
"250","7442320",0,"errors_students"
"251","5022322",0,"errors_students"
"252","5521653",2,"errors_students"
"253","9311663",4,"errors_students"
"254","3073947",8,"errors_students"
"255","7368178",12,"errors_students"
"256","5111729",2,"errors_students"
"257","6222194",29,"errors_students"
"258","5255005",19,"errors_students"
"259","5484043",15,"errors_students"
"260","8045882",15,"errors_students"
"261","5717582",7,"errors_students"
"262","6704704",1,"errors_students"
"263","6682983",8,"errors_students"
"264","9941543",2,"errors_students"
"265","6973713",11,"errors_students"
"266","3205697",1,"errors_students"
"267","8522922",3,"errors_students"
"268","6964472",1,"errors_students"
"269","9590407",2,"errors_students"
"270","9705161",0,"errors_students"
"271","9472523",7,"errors_students"
"272","7437726",3,"errors_students"
"273","8234585",3,"errors_students"
"274","4591517",1,"errors_students"
"275","575331-4",11,"errors_students"
"276","322284-1",7,"errors_students"
"277","6773881",0,"errors_students"
"278","8278012",0,"errors_students"
"279","9512146",8,"errors_students"
"280","4557682",2,"errors_students"
"281","7747603",2,"errors_students"
"282","9702184",3,"errors_students"
"283","7070600",17,"errors_students"
"284","3811528",8,"errors_students"
"285","4588133",0,"errors_students"
"286","7214703",0,"errors_students"
"287","9812009",4,"errors_students"
"288","3785433",6,"errors_students"
"289","3534211",0,"errors_students"
"290","3600640",1,"errors_students"
"291","6991392",2,"errors_students"
"292","3948031",5,"errors_students"
