"","session","mirrorFirst","ID","boxes","imistake","pred","prob","type","taskName","CR1","CR2","CR3","sex","major","math","economics","cuM","cuL","precisionL","precisionM","similarity","attnBoxL","attnBoxM","attnPayL","attnPayM","repeated","mirror","lottery","r_mirror","r_lottery","time_mirror","time_lottery","time_r_mirror","time_r_lottery","noiseL","noiseM","noise","elicitation","multiplier","treatment"
"1",0,TRUE,"3002961",100,TRUE,0,50,"A","A10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,19,0,0,164.199999999995,130.399999999997,NA,NA,0,0,0,"MPL",-1,"student"
"2",0,TRUE,"3002961",100,TRUE,0,50,"A","A15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,51,0,0,51.9000000000005,33.3000000000002,NA,NA,0,0,0,"MPL",-1,"student"
"3",0,TRUE,"3002961",100,TRUE,2.5,10,"G","G10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.5,0.5,0,0,47.4000000000004,26.1000000000001,NA,NA,0,0,0,"MPL",1,"student"
"4",0,TRUE,"3002961",100,TRUE,6.5,25,"G","G25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.5,5.5,0,0,29.7000000000002,31.3000000000002,NA,NA,0,0,0,"MPL",1,"student"
"5",0,TRUE,"3002961",100,TRUE,12.5,50,"G","G50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.5,6.5,0,0,33.1000000000002,37.6000000000003,NA,NA,0,0,0,"MPL",-1,"student"
"6",0,TRUE,"3002961",100,TRUE,18.5,75,"G","G75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.5,7.5,0,0,30.4000000000002,29.3000000000001,NA,NA,0,0,0,"MPL",-1,"student"
"7",0,TRUE,"3002961",100,TRUE,22.5,90,"G","G90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.5,6.5,0,0,44.4000000000004,47.7000000000004,NA,NA,0,0,0,"MPL",-1,"student"
"8",0,TRUE,"3002961",100,TRUE,-2.5,10,"L","L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.5,-2.5,0,0,23.5000000000001,25.6000000000001,NA,NA,0,0,0,"MPL",-1,"student"
"9",0,TRUE,"3002961",100,TRUE,-6.5,25,"L","L25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-6.5,-6.5,0,0,34.9000000000002,39.7000000000003,NA,NA,0,0,0,"MPL",-1,"student"
"10",0,TRUE,"3002961",100,TRUE,-12.5,50,"L","L50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-10.5,0,0,83.2999999999995,47.7000000000004,NA,NA,0,0,0,"MPL",-1,"student"
