"ID","errors"
"9981283","6"
"3699899","0"
"6979850","5"
"3992856","8"
"5491642","5"
"8435836","1"
"8319170","3"
"9734575","11"
"9916065","0"
"6035364","2"
"9693557","1"
"7054968","0"
"9412354","1"
"5138615","2"
"8395626","14"
"4763611","2"
"9622531","3"
"8394827","1"
"3061652","14"
"3002961","6"
"8675092","0"
"7031636","3"
"9720269","1"
"6777171","4"
"8268617","0"
"5916945","1"
"4869046","14"
"7124605","1"
"8796187","6"
"9560574","0"
"3216892","10"
"6228068","7"
"7408164","2"
"3576782","0"
"5150494","3"
"9796384","0"
"7045032","12"
"8935603","6"
"3870474","8"
"3646452","0"
"5880190","0"
"5324504","7"
"3977352","8"
"7154560","8"
"5259585","4"
"5185210","0"
"7205792","0"
"3565561","0"
"7519879","3"
"3123098","0"
"6210694","0"
"9408964","0"
"5128913","1"
"6861066","4"
"9889528","1"
"9471699","0"
"5299219","2"
"8433567","1"
"9754011","1"
"4240388","14"
"5968482","1"
"7442320","0"
"5022322","0"
"5521653","2"
"9311663","4"
"3073947","8"
"7368178","12"
"5111729","2"
"6222194","29"
"5255005","19"
"5484043","15"
"8045882","15"
"5717582","7"
"6704704","1"
"6682983","8"
"9941543","2"
"6973713","11"
"3205697","1"
"8522922","3"
"6964472","1"
"9590407","2"
"9705161","0"
"9472523","7"
"7437726","3"
"8234585","3"
"4591517","1"
"575331-4","11"
"322284-1","7"
"6773881","0"
"8278012","0"
"9512146","8"
"4557682","2"
"7747603","2"
"9702184","3"
"7070600","17"
"3811528","8"
"4588133","0"
"7214703","0"
"9812009","4"
"3785433","6"
"3534211","0"
"3600640","1"
"6991392","2"
"3948031","5"
"5927330","7"
"3125077","0"
"8888877","5"
"5996004","0"
"3231248","6"
"6030662","3"
"4300208","0"
"8901084","1"
"4367538","1"
